epoch,train_loss,train_acc,train_acc5,val_loss,val_acc,val_acc5,lr
89,2.348694,0.563607,0.858354,,,,0.0020694843548216173
90,2.349998,0.561384,0.855713,2.272155,0.554241,0.868304,0.002059211162754988
91,2.349836,0.565716,0.856181,,,,0.002048843006757322
92,2.354752,0.561257,0.853213,,,,0.0020383811035776956
93,2.332526,0.568131,0.86204,,,,0.0020278266809668336
94,2.32454,0.570157,0.862935,,,,0.002017180977533025
95,2.318446,0.575965,0.86371,2.259914,0.55625,0.876339,0.0020064452425967677
96,2.319174,0.570532,0.861109,,,,0.001995620736044157
97,2.310296,0.577115,0.863545,,,,0.00198470872817903
98,2.305109,0.57318,0.865157,,,,0.0019737104995738914
99,2.279515,0.585425,0.869483,,,,0.0019626273409196313
100,2.275659,0.58522,0.869519,2.096671,0.631696,0.899777,0.0019514605528740579
101,2.264759,0.590211,0.872721,,,,0.0019402114459092594
102,2.257179,0.591676,0.87194,,,,0.0019288813401578144
103,2.249763,0.594579,0.875797,,,,0.0019174715652578677
104,2.255717,0.58985,0.874668,,,,0.0019059834601970927
105,2.240156,0.59629,0.875015,2.059421,0.629911,0.909821,0.0018944183731555533
106,2.210248,0.606177,0.878865,,,,0.0018827776613474909
107,2.209636,0.606831,0.882721,,,,0.0018710626908620485
108,2.203342,0.61022,0.879399,,,,0.0018592748365029543
109,2.186003,0.614515,0.884895,,,,0.0018474154816271818
110,2.191003,0.61154,0.882928,2.00972,0.653571,0.907813,0.0018354860179826075
111,2.164042,0.622199,0.88689,,,,0.0018234878455446826
112,2.163595,0.620638,0.887417,,,,0.0018114223723521398
113,2.149653,0.626808,0.892544,,,,0.0017992910143417539
114,2.148532,0.627804,0.889269,,,,0.0017870951951821754
115,2.121486,0.637875,0.894462,1.95996,0.673214,0.918527,0.0017748363461068555
116,2.116534,0.638118,0.895115,,,,0.0017625159057460865
117,2.130523,0.631389,0.891698,,,,0.0017501353199581712
118,2.120447,0.636731,0.89182,,,,0.001737696041659744
119,2.108487,0.63715,0.897835,,,,0.001725199530655266
120,2.082697,0.644971,0.89878,2.051096,0.64933,0.897545,0.0017126472534657107
121,2.078389,0.650324,0.899134,,,,0.0017000406831564603
122,2.071904,0.64801,0.900293,,,,0.0016873812991644351
123,2.055232,0.658364,0.904525,,,,0.0016746705871244752
124,2.041503,0.658969,0.905776,,,,0.0016619100386949953
125,2.04389,0.659443,0.905441,1.969679,0.663839,0.9125,0.0016491011513829308
126,2.039815,0.66065,0.904887,,,,0.0016362454283679994
127,2.016305,0.66996,0.907842,,,,0.0016233443783262964
128,2.028146,0.664038,0.908467,,,,0.0016103995152532446
129,2.020487,0.667376,0.906471,,,,0.00159741235828592
130,2.001231,0.67445,0.911081,2.056288,0.641964,0.904464,0.001584384431524775
131,1.997005,0.673173,0.910363,,,,0.0015713172638547777
132,1.98221,0.68029,0.912843,,,,0.0015582123887659912
133,1.969351,0.685453,0.916528,,,,0.0015450713441736111
134,1.959251,0.685388,0.916778,,,,0.001531895672237485
