epoch,train_loss,train_acc,train_acc5,val_loss,val_acc,val_acc5,lr
1,6.812933,0.000985,0.005909,6.707511,0.002686,0.013672,0.00015878115914926515
2,6.714037,0.001707,0.008865,,,,0.0003293659288121768
3,6.507672,0.003808,0.015104,,,,0.000595042358165406
4,5.884243,0.010968,0.050494,,,,0.0009297824997489192
5,5.419431,0.022785,0.105709,5.4026,0.032715,0.112639,0.0013007923310026025
6,5.064664,0.047671,0.174793,,,,0.0016717245386983475
7,4.826047,0.069069,0.241228,,,,0.0020062394142792346
8,4.66922,0.082401,0.28909,,,,0.002271565004179735
9,4.534079,0.105584,0.327581,,,,0.002441707732189326
10,4.422047,0.117931,0.362202,4.700483,0.095549,0.286069,0.0024999999987051244
11,4.310617,0.136055,0.395144,,,,0.002499926036128651
12,4.182767,0.153124,0.430857,,,,0.0024997053897767205
13,4.071374,0.169463,0.467818,,,,0.0024993380855431614
14,4.005325,0.187981,0.48615,,,,0.002498824166532754
15,3.940919,0.200397,0.513848,4.226153,0.156096,0.427696,0.0024981636930561718
16,3.878297,0.207932,0.530517,,,,0.0024973567426229064
17,3.792478,0.226592,0.552777,,,,0.0024964034099321684
18,3.716383,0.244189,0.577282,,,,0.002495303806861777
19,3.687954,0.253583,0.584904,,,,0.0024940580624550268
20,3.625383,0.267501,0.60892,3.779434,0.223414,0.546618,0.002492666322905548
21,3.586914,0.276438,0.617931,,,,0.002491128751540147
22,3.559743,0.284035,0.624221,,,,0.002489445528799641
23,3.506014,0.29481,0.640119,,,,0.0024876168522176816
24,3.492574,0.299857,0.646155,,,,0.0024856429363975733
25,3.469013,0.308724,0.651792,4.033785,0.203575,0.494089,0.0024835240129870897
26,3.425661,0.316812,0.661917,,,,0.002481260330651288
27,3.416446,0.320874,0.664334,,,,0.002478852155043327
28,3.394865,0.326717,0.672748,,,,0.002476299768773291
29,3.373009,0.327568,0.676087,,,,0.0024736034713750263
30,3.35023,0.338284,0.686803,3.606508,0.293264,0.618203,0.0024707635792709866
